Board Name,School Number,School Name,School Language,Street,City,Postal Code,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education
Limestone DSB,919977,Kingston Collegiate and Vocational Institute,English,235 Frontenac,Kingston,K7L3S7,816,44.22957,-76.49809,10.2,2,15.9,SP,0.81,2,0.24,0.94,-1,22.11,9.03
Limestone DSB,920592,La Salle Secondary School,English,773 Highway,Kingston,K7L4V3,726,44.25317,-76.45881,2.8,NA,29.6,NA,0.79,-10,0.49,0.82,2,12.87,13.76
Limestone DSB,962236,Limestone School of Community Education,English,164 Van Order,Kingston,K7M1C1,130,44.23788,-76.52127,NA,SP,19.2,NA,NA,NA,NA,N/R,NA,28.93,SP
Limestone DSB,924130,Loyalist Collegiate and Vocational Institute,English,153 Van Order,Kingston,K7M1B9,580,44.23844,-76.52032,10.3,SP,36,SP,0.69,-8,0.33,0.76,-2,23.85,6.18
Limestone DSB,927902,Napanee District Secondary School,English,245 Belleville,Napanee,K7R3M7,970,44.24905,-76.95976,SP,SP,30.5,NA,0.76,0,0.37,0.69,0,15.96,2.23
Limestone DSB,890596,North Addington Education Centre,English,14196 Highway,Cloyne,K0H1K0,106,44.81661,-77.18646,NA,NA,36.8,NA,0.5,0,0.36,0.41,-14,30.3,SP
Limestone DSB,946494,Sydenham High School,English,2860 Rutledge,Sydenham,K0H2T0,752,44.40747,-76.59507,SP,NA,32.8,SP,0.88,1,0.52,0.73,-8,11.94,2.73
London District Catholic School Board,695734,Catholic Central High School,English,450 Dundas,London,N6B3K3,1091,42.98733,-81.23954,22.2,8.6,15.5,1.9,0.69,-12,0.29,0.74,-7,24.24,9.71
London District Catholic School Board,704253,Holy Cross Catholic Secondary School,English,367 Second,Strathroy,N7G4K6,438,42.98065,-81.60683,SP,NA,22.6,SP,0.72,2,0.44,0.78,-1,14.58,6.69
London District Catholic School Board,724513,John Paul II Catholic Secondary School,English,1300 Oxford,London,N5V4P7,849,43.0106,-81.2083,14.4,2.5,15.2,SP,0.83,24,0.33,0.7,2,24.93,1.46
London District Catholic School Board,733032,Mother Teresa Catholic Secondary School,English,1065 Sunningdale,London,N5X4B1,735,43.04906,-81.25187,18.4,3.4,15,SP,0.91,25,0.54,0.93,2,18.14,18.03
London District Catholic School Board,752827,Regina Mundi College,English,5250 Wellington,London,N6E3X8,724,42.89444,-81.20132,12.3,SP,17.8,NA,0.61,-4,0.16,0.68,-7,22.96,3.51
London District Catholic School Board,810916,St Joseph's High School,English,100 Bill Martyn,St. Thomas,N5R6A7,644,42.7538,-81.168,2,SP,20.8,SP,0.7,-6,0.49,0.8,2,15.94,3.69
London District Catholic School Board,831190,St Mary's High School,English,431 Juliana,woodstock,N4V1E8,695,43.1139,-80.7507,3.2,SP,17.4,SP,0.8,7,0.38,0.82,-2,13.58,6.12
London District Catholic School Board,854280,St Thomas Aquinas Secondary School,English,1360 Oxford,London,N6H1W2,794,42.9691,-81.3348,6.2,SP,13.4,SP,0.77,-7,0.66,0.9,3,12.29,22.66
London District Catholic School Board,763602,St. Andre Bessette Secondary School,English,2727 Tokala Trail,London,N6G0L8,727,43.01509,-81.32835,11.6,3.3,17.5,SP,0.77,-9,0.45,0.88,3,19.24,29.51
Near North DSB,943630,Almaguin Highlands Secondary School,English,21 Mountain View Road,South River,P0A1X0,492,45.841494,-79.377398,SP,NA,43.1,SP,0.56,28,0.38,0.61,11,23.81,2.51
Near North DSB,901385,Chippewa Secondary School,English,539 Chippewa,North Bay,P1B6G8,656,46.31032384,-79.46397054,2.4,SP,28,SP,0.73,-13,0.64,0.88,8,22.44,5.65
Near North DSB,925179,F J McElligott Secondary School,English,370 Pine,Mattawa,P0H1V0,105,46.31676,-78.70425,SP,NA,43.8,NA,N/R,NA,0.64,0.56,-12,24.3,SP
Near North DSB,946109,Northern Secondary School,English,175 Ethel,Sturgeon Falls,P2B2Z8,260,46.37393,-79.92028,SP,NA,34.6,NA,0.25,-57,0.19,0.68,5,24.76,SP
Near North DSB,934275,Parry Sound High School,English,111 Isabella,Parry Sound,P2A1N2,690,45.35411,-80.03663,SP,SP,38.7,NA,0.89,3,0.49,0.7,-1,15.73,SP
Near North DSB,951463,West Ferris Secondary School,English,60 Marshall Pk,North Bay,P1A2P2,504,46.2779,-79.4359,3,NA,30.2,NA,0.86,-1,0.78,0.8,7,21.08,6.13
Near North DSB,953385,Widdifield Secondary School,English,320 Ski Club,North Bay,P1B7R2,827,46.3346,-79.4505,1.7,SP,29.1,NA,0.77,-1,0.38,0.79,3,16.24,11.06
Niagara CDSB,690791,Blessed Trinity Catholic Secondary School,English,145 Livingston,Grimsby,L3M5J6,1066,43.1974,-79.5805,4.1,SP,16.1,SP,0.82,-4,0.36,0.86,-7,11.22,8.78
Niagara CDSB,703796,Denis Morris Catholic High School,English,40 Glen Morris,St Catharines,L2T2M9,1047,43.13933,-79.2366,9.1,1.6,22,SP,0.88,8,0.42,0.85,-4,22,5.81
Niagara CDSB,715247,Holy Cross Catholic Secondary School,English,460 Linwell,St Catharines,L2M2P9,706,43.20199,-79.21745,17.6,3.4,17.3,SP,0.88,7,0.36,0.82,-10,19.35,1.77
Niagara CDSB,726087,Lakeshore Catholic High School,English,150 Janet,Port Colborne,L3K2E7,989,42.89627,-79.24444,4,SP,19.7,NA,0.73,-9,0.37,0.88,3,21.13,SP
Niagara CDSB,740195,Notre Dame College School,English,64 Smith,Welland,L3C4H4,1140,43.0004,-79.2469,6.2,1.8,19.9,SP,0.8,4,0.41,0.84,-3,19.42,3.64
Niagara CDSB,790818,Saint Francis Catholic Secondary School,English,541 Lake,St Catharines,L2N4H7,623,43.19382,-79.2533,14.4,3.7,17.7,SP,0.78,-10,0.6,0.88,-2,19.73,7.55
Niagara CDSB,773662,Saint Michael Catholic High School,English,8699 McLeod,Niagara Falls,L2E6S5,840,43.0705,-79.1429,15.4,2.7,16.1,NA,0.91,0,0.54,0.82,-6,21.91,9.54
Niagara CDSB,761710,Saint Paul Catholic High School,English,3834 Windermere,Niagara Falls,L2J2Y5,880,43.11741,-79.11019,10.5,2.5,16.6,SP,0.88,-2,0.56,0.78,-7,18.43,12.16
Nipissing-Parry Sound CDSB,763659,St Joseph-Scollard Hall Secondary School,English,675 O'Brien,North Bay,P1B9R3,857,46.32218,-79.45743,SP,SP,30.7,SP,0.9,8,0.52,0.8,-2,19.75,4.63
Northeastern CDSB,784488,NCDSB Access Center Secondary School,English,383 Birch Street North,Timmins,P4N6E8,NA,48.48337984,-81.33208752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern CDSB,740454,O'Gorman High School,English,150 Ross,Timmins,P4N4M1,402,48.48569,-81.33959,4,SP,18.2,NA,0.64,-13,0.36,0.65,-14,19.85,4.15
Ottawa CDSB,724777,All Saints Catholic High School,English,5115 Kanata,Kanata,K2K3K5,938,45.32182,-75.92599,9.4,1.1,22.9,SP,0.93,-1,0.66,0.86,-4,9.91,38.18
Ottawa CDSB,724742,Holy Trinity Catholic High School,English,180 Katimavik,Kanata,K2L4A7,947,45.3081,-75.90231,9.1,1.3,25.3,2.1,0.91,2,0.8,0.91,2,12.2,29.79
Ottawa CDSB,721085,Immaculata High School,English,140 Main,Ottawa,K1S5P4,576,45.41041,-75.68042,15.6,3.8,27.8,2.6,0.9,0,0.2,0.87,2,30.86,9.76
Ottawa CDSB,689181,Lester B Pearson Catholic High School,English,2072 Jasmine,Gloucester,K1J8M5,583,45.44333,-75.5958,33.4,16.8,19.9,SP,0.83,3,0.39,0.62,4,28.92,9.83
Ottawa CDSB,733288,Mother Teresa High School,English,440 Longfields,Nepean,K2J4T1,1073,45.28541,-75.73914,21.8,7.7,21.1,2.1,0.9,-4,0.36,0.86,0,13.17,26.23
Ottawa CDSB,809020,Notre Dame High School,English,710 Broadview,Ottawa,K2A2M2,482,45.37861,-75.75603,24.3,7.7,25.3,SP,0.65,-29,0.34,0.74,-1,34.1,8.29
Ottawa CDSB,759970,Sacred Heart High School,English,5870 Abbott,Stittsville,K2S1X4,1130,45.26395,-75.91061,1.9,SP,24.7,1.8,0.88,-6,0.52,0.9,-5,7.84,39.37
Ottawa CDSB,764914,St Joseph High School,English,3333 Greenbank,Nepean,K2J4J1,747,45.2646,-75.7422,11.2,2.3,17.8,SP,0.96,1,0.48,0.93,3,12.1,30.93
Ottawa CDSB,864331,St Mark High School,English,1040 Dozois,Manotick,K4M1B2,681,45.24442,-75.64813,SP,NA,24.5,1.5,0.87,-10,0.63,0.87,-1,8.72,19.77
Ottawa CDSB,704873,St Matthew High School,English,6550 Bilberry,Orleans,K1C2S9,632,45.48039,-75.53238,11.2,SP,27.4,SP,0.92,4,0.41,0.94,6,14.44,21.93
Ottawa CDSB,836265,St Nicholas Adult High School,English,893 Admiral,Ottawa,K1Z6L6,1117,45.38417,-75.72909,20.9,4.8,SP,NA,NA,NA,NA,N/R,NA,28.37,12.55
Ottawa CDSB,816132,St Patrick's High School,English,2525 Alta Vista,Ottawa,K1V7T3,911,45.37795,-75.65996,34.6,10.1,19.3,SP,0.76,1,0.42,0.75,-4,37.91,15.09
Ottawa CDSB,689203,St Paul High School,English,2675 Draper,Ottawa,K2H7A1,575,45.34159,-75.79262,12.9,2.3,28.9,1.9,0.84,13,0.5,0.79,-5,24.54,17.17
Ottawa CDSB,843296,St Peter High School,English,750 Charlemagne,Orleans,K4A3M4,1115,45.47479,-75.47738,10.1,1.3,24.4,1.5,0.93,-1,0.37,0.87,3,11.88,23.81
Ottawa CDSB,847313,St Pius X High School,English,1481 Fisher,Ottawa,K2C1X4,915,45.36551,-75.71234,23.1,12.6,22.5,1.5,0.93,4,0.59,0.78,-3,23.12,9.27
Ottawa CDSB,843510,St. Francis Xavier (9-12) Catholic School,English,3740 Spratt,Gloucester,K1V2M1,1120,45.28978,-75.67076,14.7,2.1,18.8,1.2,0.86,4,0.65,0.9,4,16.62,18.52
Ottawa-Carleton DSB,890243,A.Y. Jackson Secondary School,English,150 Abbeyhill,Kanata,K2L1H7,732,45.29535,-75.88018,16.9,SP,24,SP,0.93,4,0.36,0.91,1,11.72,34.85
Ottawa-Carleton DSB,947210,Adult High School,English,300 Rochester,Ottawa,K1R7N4,1213,45.40454,-75.71054,55.1,30.3,NA,NA,N/R,NA,0.02,N/D,NA,37.13,9.97
Ottawa-Carleton DSB,894362,Bell High School,English,40 Cassidy,Nepean,K2H6K1,990,45.32647,-75.80886,47.1,8.5,37.5,24,0.78,-7,0.58,0.8,-1,21.74,23.22
Ottawa-Carleton DSB,896705,Brookfield High School,English,824 Brookfield,Ottawa,K1V6J3,585,45.37266,-75.68478,45.6,8.9,29.1,SP,0.72,NA,0.33,0.78,4,26.74,13.44
Ottawa-Carleton DSB,906514,Cairine Wilson Secondary School,English,975 Orleans,Orleans,K1C2Z5,772,45.48271,-75.54112,13.9,SP,28.6,SP,0.76,-4,0.61,0.85,-2,12.55,22.53
Ottawa-Carleton DSB,898317,Canterbury High School,English,900 Canterbury,Ottawa,K1G3A7,1280,45.38802,-75.62634,18,1.9,22,4.7,0.9,NA,0.31,0.91,-1,18.03,23.87
Ottawa-Carleton DSB,902586,Colonel By Secondary School,English,2381 Ogilvie,Gloucester,K1J7N4,1108,45.45504,-75.59999,31.7,2.9,27.3,19.1,0.95,4,0.5,0.95,-2,14.8,27.78
Ottawa-Carleton DSB,906484,Earl of March Secondary School,English,No. 4 The Parkway,Kanata,K2K1Y4,1145,45.32286,-75.89463,31.4,2.3,21.4,2.4,0.89,-8,0.4,0.92,-2,14.29,38.27
Ottawa-Carleton DSB,907898,Elizabeth Wyn Wood Secondary Alternate,English,20 Rossland,Nepean,K2G1H6,322,45.35351,-75.73724,7.8,SP,NA,NA,N/R,NA,N/D,N/R,NA,25.42,13.35
Ottawa-Carleton DSB,911143,Frederick Banting Secondary Alternate Pr,English,1453 Stittsville Main,Stittsville,K2S1A3,200,45.26035907,-75.92296943,7,SP,NA,NA,N/R,NA,N/R,N/R,NA,15.9,22.79
Ottawa-Carleton DSB,912697,Glebe Collegiate Institute,English,212 Glebe,Ottawa,K1S2C9,1394,45.40179,-75.6972,24.7,4.8,22.1,5.5,0.84,NA,0.25,0.86,-7,21.79,19.15
Ottawa-Carleton DSB,913472,Gloucester High School,English,2060 Ogilvie,Gloucester,K1J7N8,666,45.43868,-75.5993,46.7,7.1,21.3,SP,0.82,-4,0.38,0.74,4,24.86,10.42
Ottawa-Carleton DSB,916854,Hillcrest High School,English,1900 Dauphin,Ottawa,K1G2L7,471,45.39853,-75.63905,39.7,3.4,27,SP,0.85,5,0.09,0.75,-6,28.35,19.74
Ottawa-Carleton DSB,918954,John McCrae Secondary School,English,103 Malvern,Nepean,K2J4T2,968,45.27949,-75.76316,16.3,SP,24.5,1.9,0.95,-1,0.68,0.92,-2,10.7,28.89
Ottawa-Carleton DSB,922960,Lisgar Collegiate Institute,English,29 Lisgar,Ottawa,K2P0B9,1032,45.42082,-75.68819,30.8,5.7,48.6,36.8,0.83,NA,0.2,0.96,0,26.88,15.78
Ottawa-Carleton DSB,900494,Longfields Davidson Heights Secondary School,English,149 Berrigan,Nepean,K2J5C6,1419,45.27908,-75.74105,38.1,1.9,15.9,1.1,0.89,1,0.45,0.88,-3,14.84,32.33
Ottawa-Carleton DSB,925691,Merivale High School,English,1755 Merivale,Nepean,K2G1E2,616,45.34309,-75.72791,27.4,SP,26.5,5.5,0.86,-2,0.62,0.87,3,20.12,9.5
Ottawa-Carleton DSB,928291,Nepean High School,English,574 Broadview,Ottawa,K2A3V8,1092,45.38379,-75.7589,15,1.4,21.9,3.5,0.94,NA,0.67,0.94,0,17.01,22.01
Ottawa-Carleton DSB,929425,Norman Johnston Secondary Alternate Prog,English,2401 Cléroux,Ottawa,K1W1A1,233,45.43671,-75.54898,6.4,SP,NA,NA,N/D,NA,N/R,N/R,NA,19.93,16.02
Ottawa-Carleton DSB,932710,Osgoode Township High School,English,2800 th Line,Metcalfe,K0A2P0,558,45.22887,-75.4696,2.2,SP,28.1,2.3,0.81,NA,0.43,0.91,2,9.81,16.49
Ottawa-Carleton DSB,925403,Ottawa Technical Secondary School,English,485 Donald,Ottawa,K1K1L8,423,45.42914,-75.64621,18.7,SP,99.8,NA,N/D,NA,0.29,N/R,NA,29.13,12.44
Ottawa-Carleton DSB,939420,Richard Pfaff Secondary Alternate Site,English,160 Percy,Ottawa,K1R6E5,258,45.40988,-75.70225,13.2,SP,NA,NA,N/D,NA,N/D,N/R,NA,33.15,12.07
Ottawa-Carleton DSB,938564,Ridgemont High School,English,2597 Alta Vista,Ottawa,K1V7T3,781,45.37606,-75.65965,56.3,17.4,19,SP,0.73,14,0.21,0.65,-13,37.76,12.21
Ottawa-Carleton DSB,942952,Sir Guy Carleton Secondary School,English,55 Centrepointe,Nepean,K2G5L4,403,45.34671,-75.76514,14.1,NA,84.9,NA,N/D,NA,0.4,0.47,18,25.57,12.63
Ottawa-Carleton DSB,942014,Sir Robert Borden High School,English,131 Greenbank,Nepean,K2H8R1,818,45.33359461,-75.7816492,24.7,1.3,24.8,2.4,0.83,NA,0.2,0.86,-4,18.49,27.05
Ottawa-Carleton DSB,942332,Sir Wilfrid Laurier Secondary School,English,1515 Tenth Line,Orleans,K1E3E8,1004,45.47385,-75.49435,21.9,1.4,23.3,1.5,0.85,NA,0.53,0.81,-5,12.36,24.89
Ottawa-Carleton DSB,942855,South Carleton High School,English,3673 McBean,Richmond,K0A2Z0,1040,45.18625,-75.82802,2.6,SP,25.5,1.3,0.98,6,0.7,0.85,1,8.35,24.77
Ottawa-Carleton DSB,949159,Urban Aboriginal Alternate High School,English,440 Percy,Ottawa,K1R6E5,24,45.41683,-75.70633,SP,NA,NA,NA,N/D,NA,N/D,N/R,NA,SP,SP
Ottawa-Carleton DSB,951366,West Carleton Secondary School,English,3088 Dunrobin,Dunrobin,K0A1T0,1204,45.43432,-76.03509,16.4,SP,23.6,SP,0.95,-1,0.74,0.9,1,9.25,25.66
Ottawa-Carleton DSB,954420,Woodroffe High School,English,2410 Georgina,Ottawa,K2B7M8,763,45.36254,-75.77982,38.4,10.9,27.1,SP,0.58,NA,0.2,0.71,-5,29.29,9.5
Peel DSB,892203,Applewood Heights Secondary School,English,945 Bloor,Mississauga,L4Y2M8,1004,43.60721,-79.605,57.1,7.9,14.2,NA,0.81,NA,0.64,0.86,-1,23.48,19.11
Peel DSB,901887,Applewood School,English,3675 THOMAS,MISSISSAUGA,L5M7E6,146,43.55749,-79.74345,41.8,SP,100,NA,NA,NA,NA,NA,NA,21.77,25.56
Peel DSB,895920,Bramalea Secondary School,English,510 Balmoral,Brampton,L6T1W4,1101,43.71551,-79.70749,41.5,11.2,13.2,NA,0.75,NA,0.37,0.69,-4,22.76,8.52
Peel DSB,896055,Brampton Centennial Secondary School,English,251 McMurchy,Brampton,L6Y1Z4,1299,43.66693,-79.74829,52.8,5.5,11.2,NA,0.91,NA,0.4,0.77,-7,21.32,27.19
Peel DSB,918407,Castlebrooke SS Secondary School,English,10 Gardenbrooke,Brampton,L6P3L1,1883,43.78428,-79.67716,65.6,3.1,9.5,SP,0.9,NA,0.21,0.79,6,17.55,30.12
Peel DSB,899003,Cawthra Park Secondary School,English,1305 Cawthra,Mississauga,L5G4L1,1313,43.57622,-79.57315,28.7,1.1,16.2,NA,0.87,NA,0.53,0.92,-2,19.59,17.1
Peel DSB,899828,Central Peel Secondary School,English,32 Kennedy,Brampton,L6V1X4,1084,43.6986,-79.75136,49.3,12.3,15.1,NA,0.85,NA,0.26,0.76,0,22.41,11.35
Peel DSB,901342,Chinguacousy Secondary School,English,1370 WILLIAMS,BRAMPTON,L6S1V3,971,43.7374,-79.72828,61.6,2.1,12.4,NA,0.87,NA,0.69,0.84,-3,19.37,17.93
Peel DSB,901660,Clarkson Secondary School,English,2524 Bromsgrove,Mississauga,L5J1L8,813,43.50407,-79.64575,42.6,2.7,16.6,NA,0.82,NA,0.42,0.81,-3,20.92,14.16
Peel DSB,909673,David Suzuki Secondary School,English,45 Daviselm,Brampton,L6X0Z3,1766,43.66955,-79.78667,45.4,4,10,NA,0.78,NA,0.41,0.69,-16,18.2,20.09
Peel DSB,909092,Erindale Secondary School,English,2021 DUNDAS,MISSISSAUGA,L5K1R2,785,43.53885,-79.66664,43.7,7.3,24.2,NA,0.9,NA,0.2,0.7,-10,26.5,25.84
Peel DSB,910058,Fletcher's Meadow Secondary School,English,10750 Chinguacousy,Brampton,L7A2Z7,1587,43.69843,-79.82647,48.4,5.7,16,SP,0.78,NA,0.46,0.75,-4,16.97,13.95
Peel DSB,913189,Glenforest Secondary School,English,3575 Fieldgate,Mississauga,L4X2J6,1305,43.6271,-79.59257,73.3,9.7,16.2,7.5,0.86,NA,0.53,0.91,-5,27.32,24.86
Peel DSB,913863,Gordon Graydon Memorial Secondary School,English,1490 Ogden,Mississauga,L5E2H8,724,43.58586,-79.57214,60.6,2.3,23.1,NA,0.91,NA,N/R,0.95,-5,24.25,22.94
Peel DSB,943916,Harold M. Brathwaite Secondary School,English,415 Great Lakes,Brampton,L6R2Z4,1135,43.73971,-79.77068,68.8,4.1,12.8,NA,0.86,NA,0.37,0.82,7,17.4,15.97
Peel DSB,916269,Heart Lake Secondary School,English,296 Conestoga,Brampton,L6Z3M1,1252,43.71675,-79.78869,35.7,3.4,19.9,6.4,0.68,NA,0.31,0.76,-9,16.7,11.02
Peel DSB,917559,Humberview Secondary School,English,135 Kingsview,Bolton,L7E3V8,1142,43.88835,-79.73721,12.5,0.9,29.2,7.4,0.77,NA,0.26,0.83,-2,10.66,15.25
Peel DSB,935244,Jean Augustine Secondary School,English,500 Elbern Markell,Brampton,L6X5L3,NA,43.66761,-79.82633,NA,NA,NA,NA,0.7,NA,0.18,0.83,NA,NA,NA
Peel DSB,918830,John Fraser Secondary School,English,2665 Erin Centre,Mississauga,L5M5H6,1411,43.55998,-79.71669,65.2,15.9,7.4,NA,0.94,NA,0.6,0.92,2,23.79,40.91
Peel DSB,930679,Judith Nyman Secondary School,English,1305 WILLIAMS,BRAMPTON,L6S3J8,622,43.73254,-79.73075,21.7,SP,100,NA,N/D,NA,0.11,0.01,-8,19.52,9.57
Peel DSB,952885,Lincoln M. Alexander Secondary School,English,3545 Morning Star,Mississauga,L4T1Y3,1021,43.72471,-79.63983,60.1,10,23,NA,0.62,NA,0.31,0.58,-7,27.46,9.24
Peel DSB,924008,Lorne Park Secondary School,English,1324 Lorne Park,Mississauga,L5H3B1,1010,43.53146,-79.62472,26.6,1.9,21.9,9.7,0.86,NA,0.38,0.95,0,16.1,34.12
Peel DSB,904203,Louise Arbour Secondary School,English,365 Father Tobin,Brampton,L6R0R4,1513,43.75966,-79.76718,65.6,4.1,11.6,NA,0.82,NA,0.57,0.81,4,15.47,28.41
Peel DSB,925349,Mayfield Secondary School,English,5000 Mayfield,Caledon,L7C0Z5,1822,43.77402,-79.78203,16.1,SP,11.5,NA,0.8,NA,0.3,0.85,-4,13.72,15.15
Peel DSB,925551,Meadowvale Secondary School,English,6700 Edenwood,Mississauga,L5N3B2,1139,43.57791,-79.76129,38.5,4.3,14.3,NA,0.86,NA,0.35,0.81,-5,16.73,19.07
Peel DSB,925535,Mississauga Secondary School,English,550 Courtneypark,Mississauga,L5W1L9,1380,43.62509,-79.70288,75.8,7.2,16,NA,0.81,NA,0.67,0.77,-10,21.17,24.25
Peel DSB,930660,North Park Secondary School,English,10 North Park,Brampton,L6S3M1,1340,43.72024,-79.74828,58.1,2.3,11.6,NA,0.9,NA,0.43,0.82,-6,18.36,15.44
Peel DSB,905838,Parkholme School,English,10750 Chinguacousy,Brampton,L7A2Z7,232,43.7007,-79.82904,35.8,NA,99.1,NA,NA,NA,NA,NA,NA,17.81,16.16
Peel DSB,918210,Peel Alternative North,English,315 BARTLEY BULL,BRAMPTON,L6W2L4,43,43.67904,-79.7319,SP,NA,39.5,SP,N/R,NA,N/R,0.55,8,SP,SP
Peel DSB,943381,Peel Alternative North ISR,English,315 BARTLEY BULL,BRAMPTON,L6W2L4,563,43.67917595,-79.73139548,32.3,3.4,16.5,SP,N/R,NA,N/R,N/R,NA,19.94,15.88
Peel DSB,918202,Peel Alternative South,English,1500 Ogden,Mississauga,L5E2H8,NA,43.58664,-79.57292,SP,NA,SP,NA,NA,NA,NA,N/R,NA,SP,SP
Peel DSB,958431,Peel Alternative South ISR,English,1500 Ogden,MISSISSAUGA,L5E2H8,183,43.58664,-79.57292,25.7,SP,19.7,NA,N/D,NA,N/D,N/D,NA,24.94,15.38
Peel DSB,954252,Peel Alternative West,English,6325 Montevideo,Mississauga,L5N4G7,39,43.58612,-79.74703,SP,SP,28.2,NA,N/R,NA,N/R,N/R,NA,SP,SP
Peel DSB,933672,Peel Alternative West ISR,English,6975 Meadowvale Town Centre,MISSISSAUGA,L5N2W7,169,43.586069,-79.746767,26,SP,SP,SP,N/R,NA,N/R,N/R,NA,23.47,20.83
Peel DSB,935832,Port Credit Secondary School,English,70 Mineola,Mississauga,L5G2E5,1176,43.56278,-79.58852,52.8,10.1,17.6,NA,0.9,NA,0.59,0.86,-4,23.8,18.04
Peel DSB,938009,Rick Hansen Secondary School,English,1150 Dream Crest,Mississauga,L5V1N6,1624,43.5889,-79.68316,70.4,9.4,8.9,NA,0.85,NA,0.61,0.83,-4,22.51,32.43
Peel DSB,939596,Sandalwood Heights Secondary School,English,2671 Sandalwood,Brampton,L6R0K7,1317,43.76552,-79.74265,70.8,4.9,13.1,NA,0.81,NA,0.29,0.75,-8,16.49,24.66
Peel DSB,962646,Stephen Lewis Secondary School,English,3675 Thomas,Mississauga,L5M7E6,1531,43.55744,-79.7437,77,15.5,4.8,NA,0.86,NA,0.36,0.87,1,24.64,53.78
Peel DSB,945978,Streetsville Secondary School,English,72 Joymar,Mississauga,L5M1G3,899,43.57918,-79.71922,37.9,1.4,12.1,NA,0.82,NA,0.25,0.94,5,17.92,20.9
Peel DSB,948187,T. L. Kennedy Secondary School,English,3100 Hurontario,Mississauga,L5B1N7,638,43.58151,-79.62055,68,23,29.2,NA,0.68,NA,0.11,0.75,-3,32.75,27.56
Peel DSB,954403,The Woodlands Secondary School,English,3225 Erindale Station,Mississauga,L5C1Y5,994,43.56291,-79.64781,64.5,8.5,42.8,32.5,0.93,NA,0.54,0.9,-5,25.47,23.97
Peel DSB,918440,Turner Fenton Secondary School,English,7935 Kennedy,Brampton,L6V3N2,1895,43.67505,-79.71904,56.6,2.6,20.6,NA,0.92,NA,0.37,0.79,-3,20.86,17.22
Peel DSB,951404,West Credit Secondary School,English,6325 Montevideo,Mississauga,L5N4G7,508,43.58601,-79.74652,31.7,SP,94.3,NA,N/D,NA,0.22,0.1,-1,23.58,22.62
Peterborough Victoria Northum Clarington CDSB,704261,Holy Cross Catholic Secondary School,English,1355 Lansdowne,Peterborough,K9J7M3,642,44.27936,-78.35592,2.8,SP,35.5,SP,0.91,15,0.53,0.69,0,17.33,6.44
Peterborough Victoria Northum Clarington CDSB,720240,Holy Trinity Catholic Secondary School,English,2260 Courtice,Courtice,L1E2M8,770,43.9019,-78.77342,2.3,SP,28.2,SP,0.85,-3,0.5,0.77,-5,11.4,13.84
Peterborough Victoria Northum Clarington CDSB,830410,St. Mary Catholic Secondary School,English,1050 Birchwood,Cobourg,K9A5S9,781,43.98332,-78.16963,1.3,SP,27.3,SP,0.8,-13,0.55,0.78,-5,14.74,3.72
Peterborough Victoria Northum Clarington CDSB,845361,St. Peter Catholic Secondary School,English,730 Medical,Peterborough,K9J8M4,1097,44.30848,-78.34399,2.4,SP,26.3,SP,0.83,-8,0.67,0.82,-2,16.84,7.47
Peterborough Victoria Northum Clarington CDSB,851116,St. Stephen Catholic Secondary School,English,300 Scugog,Bowmanville,L1C3K2,995,43.92853,-78.70023,3.4,SP,27.2,SP,0.88,-3,0.81,0.79,0,11.99,3.09
Peterborough Victoria Northum Clarington CDSB,855006,St. Thomas Aquinas Catholic Secondary School,English,260 Angeline,Lindsay,K9V0J8,279,44.33158,-78.74152,SP,SP,36.6,NA,0.9,-10,0.65,0.66,-18,18.28,SP
Provincial Schools,900559,Centre Jules-Léger ÉA Difficulté,French,281 av Lanark,Ottawa,K1Z6R8,NA,45.39935193,-75.754153856,NA,NA,NA,NA,NA,NA,NA,S. R.,NA,NA,NA
Provincial Schools,900567,Centre Jules-Léger ÉP Surdicécité,French,281 av Lanark,Ottawa,K1Z6R8,NA,45.39935193,-75.754153856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Provincial Schools,900540,Centre Jules-Léger ÉP Surdité palier,French,281 av Lanark,Ottawa,K1Z6R8,NA,45.39935193,-75.754153856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Provincial Schools,909203,E C Drury/Trillium Demonstration School,English,347 Ontario,Milton,L9T3X9,23,43.512157452,-79.869089035,NA,NA,NA,NA,N/R,NA,N/R,N/R,NA,NA,NA
Provincial Schools,909190,Ernest C Drury School for the Deaf,English,255 Ontario,Milton,L9T2M5,67,43.514293376,-79.867683206,NA,NA,NA,NA,N/R,NA,N/R,N/R,NA,NA,NA
